titulo,descripcion,imagen,ingredientes,fecha,fuente,Producto,Porción,_row,Azúcares [g],Calcio [mg],Carbohidratos [g],Cianocobalamina (B12) [µg],Colesterol [mg],Fibra [g],Grasas monoinsaturadas [g],Grasas poliinsaturadas [g],Grasas saturadas [g],Grasas trans [g],Lactosa [g],Proteínas [g],Sodio [mg],Valor energético [kcal],Vitamina A [µg],Zinc [mg],Ácido Fólico (B9) [µg],Calcio (%VD),Carbohidratos (%VD),Cianocobalamina (B12) (%VD),Fibra (%VD),Grasas saturadas (%VD),Proteínas (%VD),Sodio (%VD),Valor energético (%VD),Vitamina A (%VD),Zinc (%VD),Ácido Fólico (B9) (%VD)
Cookies Sabor Bon o Bon Cofler,Galletitas dulce sabor chocolate con relleno a base de leche y maní,https://www.nutrinfo.com/imagenes/vademecum/15852/66e993f8f12d0.jpg,"INGREDIENTES: Chocolate con leche 33% (azúcar, manteca de cacao, leche entera en polvo, masa de cacao, leche descremada en polvo, sal, emulsionantes: lecitina de soja/soya, poliglicerol polirricinoleato, triesterato de sorbitan, aromatizante, cacao 36%), harina de trigo enriquecida según Ley 25630, azúcar, aceites vegetales (interesterificado y fraccionado, interesterificado, alto oleico y totalmente hidrogenado), maní tostado, leche descremada en polvo, jarabe de glucosa, almidon, cacao en polvo, sal, leudantes químicos: bicarbonato de amonio, emulsionantes: poliglicerol polirricinoleato, lecitina de soja/soya, aromatizantes artificiales: vainillina, aromas avellana y naranja.",17-09-2024,Rótulo,Cookies Sabor Bon o Bon Cofler,Porción: 26 g (2 galletitatas),19,10.0,,,,,0.0,2.5,1.0,3.6,0.0,,2.4,36.0,134.0,,,,,,,0.0,16.0,3.0,2.0,7.0,,,
Galletas de Arroz Mix de Legumbres Rodez,"Galletas de arroz con garbanzos, arvejas, porotos rojos y porotos negros. Libre de gluten",https://www.nutrinfo.com/imagenes/vademecum/16103/67f3da6a6a1a5.jpg,"INGREDIENTES: Arroz integral yamani, garbanzos, arvejas, porotos rojos, porotos negros, sal",07-04-2025,Rótulo,Galletas de Arroz Mix de Legumbres Rodez,Porción: 25 g (6 unidades),10,,,18.0,,,2.0,,,0.1,0.0,,3.0,30.0,90.0,,,,,6.0,,8.0,0.0,4.0,1.0,5.0,,,
Galletitas Crackers Mix de Semillas Shiva,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Rótulo,Galletitas Crackers Mix de Semillas Shiva,Porción: 30 g (4 galletitas),1,0.4,,,,,1.0,,,1.4,0.0,,2.9,89.0,129.0,,,,,,,4.0,6.0,4.0,4.0,6.0,,,
Galletitas Crackers Orgánicas con Lino y Chia Grun,"Galletitas a base de harina integral de trigo, harina de trigo 000, aceite de girasol.",https://www.nutrinfo.com/imagenes/vademecum/14758/67f3db9c57611.jpg,"INGREDIENTES: Harina integral de trigo orgánica, harina 000 orgánica, agua, aceite de girasol orgánico, semilla de lino orgánica, semilla de chia orgánica, sal, levadura en polvo. Antioxidante: tocoferol",07-04-2025,Rótulo,Galletitas Crackers Orgánicas con Lino y Chia Grun,Porción: 30 g (3 unidades),9,,,12.0,,,2.2,,,0.4,0.0,,2.6,196.0,104.0,,,,,4.0,,9.0,2.0,3.0,8.0,5.0,,,
Galletitas Crackers Salvado Granix,Galletitas con salvado. 12% materia grasa,https://www.nutrinfo.com/imagenes/vademecum/13250/6749226966b70.jpg,"INGREDIENTES: Harina de trigo enriquecida segun Ley 25630, salvado de trigo, aceite de girasol alto oleico, jarabe de maíz, harina de soja, levadura inactiva, sal, cloruro de potasio, levadura, aroma natural, regulador de acidez (bicarbonato de sodio), aromatizante natural manteca, antioxidante (tocoferoles).",29-11-2024,Rótulo,Galletitas Crackers Salvado Granix,Porción: 30 g (4 galletas),13,1.0,,,,0.0,2.8,2.7,0.4,0.3,0.0,,3.6,83.0,119.0,,,,,,,11.0,1.0,5.0,3.0,6.0,,,
Galletitas Crackers con KesitasTraviata,Galletitas snack,https://www.nutrinfo.com/imagenes/vademecum/16105/67f45625ae570.jpg,"INGREDIENTES: Harina de trigo enriquecida, aceite de girasol alto oleico, almidón, azúcar, sal, jarabe de glucosa, levadura, emulsionantes: mono y digliceridos de acidos grasos, esteres de acidos grasos con propilenglicol, sales de acidos grasos con potasio, lecitna de soja, antioxidante: BHT, aromatizante artificial: aroma queso.",08-04-2025,Rótulo,Galletitas Crackers con KesitasTraviata,Porción: 30 g (12 galletitas),8,1.0,,,,,0.6,4.6,0.5,0.6,0.0,,2.8,229.0,141.0,,,,,,,2.0,3.0,4.0,10.0,7.0,,,
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas,https://www.nutrinfo.com/imagenes/vademecum/16181/6862b6ffbe786.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Página web empresa oficial,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 30 g (2 galletitas),2,,,21.0,,,1.2,3.3,0.4,0.5,0.0,,5.1,81.0,131.0,,,,,7.0,,5.0,2.0,7.0,3.0,7.0,,,
Galletitas Dulces con Avena y Pasas Frutigran,Galletitas dulces con avena y pasas de uva.,https://www.nutrinfo.com/imagenes/vademecum/11657/6862b56d51227.jpg,"INGREDIENTES: harina de trigo enriquecida Ley Nº 25.630, aceite de girasol de alto oleico, pasas de uva, avena arrollada, azúcar, almidon de maíz, harina integral, fibra soluble, jarabe de maíz, sal, emulsionante (monoglicéridos de ácidos grasos), regulador de la acidez (bicarbonato de sodio), saborizante natural vainilla, aromatizantes naturales melaza y manteca, leudante químico (bicarbonato de amonio), antioxidante (tocoferoles).",30-06-2025,Empresa,Galletitas Dulces con Avena y Pasas Frutigran,Porción: 39 g (3 galletitas),3,,,27.0,,0.0,1.6,4.3,0.5,0.6,0.0,,2.9,105.0,169.0,,,,,9.0,,6.0,3.0,4.0,4.0,8.0,,,
Galletitas Granagua Sandwich Granix,Galletitas con salvado. 12% materia grasa,https://www.nutrinfo.com/imagenes/vademecum/13250/6749226966b70.jpg,"INGREDIENTES: Harina de trigo enriquecida Ley 25630, aceite de girasol alto oleico, jarabe de maíz, levadura inactiva, sal, cloruro de potasio, levadura, aroma natural, regulador de la acidez (bicarbonato de sodio), aromatizante natural manteca, antioxidante (tocoferoles).",29-11-2024,Rótulo,Galletitas Granagua Sandwich Granix,Porción: 30 g (5 unidades),14,,,20.0,,,1.4,3.0,0.3,0.3,0.0,,3.3,81.0,128.0,,,,,7.0,,6.0,1.0,4.0,3.0,6.0,,,
Galletitas Sabor Coca Cola Oreo,Bocaditos de arroz cubiertos con baño de repostería con leche,https://www.nutrinfo.com/imagenes/vademecum/15865/66ec76f4ebc5d.jpg,"INGREDIENTES: Azúcar, harina de trigo enriquecida, grasa vegetal, aceite vegetal, cacao en polvo, jarabe de maíz de alta fructosa, almidón, sal, leudantes químicos (bicarbonato de sodio, bicarbonato de amonio), emulsionante (lecitina de soja), aromatizantes, acidulante (ácido fosfórico), colorantes (rojo 40, ponceau 4R, carmín).",17-09-2024,Rótulo,Galletitas Sabor Coca Cola Oreo,Porción: 32 g (3 galletitas),17,12.0,,,,,0.8,,,2.7,0.0,,1.6,95.0,157.0,,,,,,,3.0,12.0,2.0,4.0,8.0,,,
Galletitas con Avena y Pasas Granolitas,"Galletitas dulces con harina integral, pasas de uva y avena. 13% mayeria grasa",https://www.nutrinfo.com/imagenes/vademecum/16180/6862b0ef98deb.jpg,"INGREDIENTES: harina integral, harina de trigo enriquecida Ley N° 25.630 (hierro: mg/kg, niacina: 13 mg/kg, vitamina B1: 6,3 mg/kg, acido folico: 2,2 mg/kg, vitamina B2: 1,3 mg/kg), pasas de uva, avena arrollada, aceite de girasol de alto oleico, azucar, almidon de maiz, crispines de arroz, copos de maiz, fibra soluble, almidon modificado, sal, emulsionante (monogliceridos de acidos grasos), regulador de la acidez (bicarbonato de sodio), leudante quimico (bicarbonato de amonio), aromatizantes naturales vainilla, melaza y manteca, antioxidante (tocoferoles).",30-06-2025,Rótulo,Galletitas con Avena y Pasas Granolitas,Porción: 30 g (6 galletitas),4,4.5,,,,,1.3,,,0.4,0.0,,2.2,87.0,129.0,,,,,,,5.0,2.0,3.0,4.0,6.0,,,
Galletitas de Limón Havanna,Galletitas dulces rellenas con sabor a limón,https://www.nutrinfo.com/imagenes/vademecum/13716/676705c36f1db.jpg,"INGREDIENTES: Harina de trigo enriquecida según Ley 25630, azúcar, aceite vegetal interesterificado, margarina, glucosa, huevo, almidón de maíz, leche descremada en polvo, miel, sal, RAI: (bicarbonato de sodio (INS 500ii), bicarbonato de amonio (INS 503ii), ACI: (ácido cítrico (INS 330)), ARO: (esencia natural de limón, esencia artificial de vainilla, vainillina).",21-12-2024,Rótulo,Galletitas de Limón Havanna,Porción: 25 g (1 unidad),12,8.0,,,,,0.1,,,1.6,0.0,,1.3,32.0,113.0,,,,,,,0.0,7.0,2.0,1.0,6.0,,,
Snacks Triangulitos de Sésamo y Sal Marina Almadre,Galletas de arroz con quinoa,https://www.nutrinfo.com/imagenes/vademecum/15712/660beaf390fdd.jpg,"INGREDIENTES: Harina integral, masa madre de trigo, semillas de sésamo, harina de centeno, aceite vegetal alto oleico, sal marina.",17-06-2024,Rótulo,Snacks Triangulitos de Sésamo y Sal Marina Almadre,Porción: 25 g (10 snacks aprox),27,0.1,,,,,8.1,0.6,0.7,0.2,0.0,,2.4,228.0,66.0,,,,,,,32.0,1.0,3.0,10.0,3.0,,,
Snacks de Arroz Bañado Quento,Bocaditos de arroz cubiertos con baño de repostería con leche,https://www.nutrinfo.com/imagenes/vademecum/15865/66ec76f4ebc5d.jpg,"INGREDIENTES: Harina de arroz, baño de repostería con leche (azúcar, aceite vegetal hidrogenado, leche en polvo descremada, cacao en polvo, sal, emulsionante: INS 322, aromatizante: etilvainillina).",19-09-2024,Rótulo,Snacks de Arroz Bañado Quento,Porción: 25 g (1 paquete de 25g),16,10.0,,,,,0.4,,,6.6,0.0,,1.6,17.0,129.0,,,,,,,2.0,30.0,2.0,1.0,6.0,,,
Tostaditas de Arroz Crackines,Tostaditas de arroz con sal,https://www.nutrinfo.com/imagenes/vademecum/13480/5f6905106c3bc.jpg,"INGREDIENTES: Arroz molido, leche en polvo, azúcar, sal.",23-12-2024,Rótulo,Tostaditas de Arroz Crackines,Porción: 30 g (13 galletitas),11,,,25.0,,,0.0,,,0.2,0.0,,2.3,203.0,114.0,,,,,8.0,,0.0,1.0,3.0,8.0,6.0,,,
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),0,11.49,306.0,,1.4,,0.0,,,3.6,0.0,3.3,13.0,168.0,163.0,219.0,2.5,84.02,31.0,,58.0,0.0,16.0,17.0,7.0,8.0,37.0,36.0,21.0
